"ID_SURVEY";"answer_date";"NPS";"num_questions_answered";"client_id_hash";"num_open_field_answered";"Nb_Caractères_Total_Questionnaire";"Concatenated_Open_Field_Answers";"survey_year";"Words_Corrected";"Answer_Length_Without_Space";"Valence_NRC";"Polarity_Score_LIWC";"New_Client_Id_Client";"node_type.x";"New_Client_Id_Email";"node_type.y";"email_id"
"00018509C3577E286E591936DCBB9F84";2019-01-06;10;16;"c9e5ddee327ae2b2036aa1c525443ba1a204d2a7cd70e3c441a807cc8bc212db";1;45;"Le personel très sympa, disponible à l écoute";2019;"personnel sympa disponible écoute";30;0;200;19730;"client_id_hash";19730;"email_id";"1327402"
"0001E2F445C8145EF42631D24F511F24";2020-03-07;10;14;"490416c9418a0e539073ad74b5da5b13da327574b69cfe8068cfc131197d91e7";1;77;"Magasin agréable Articles mis en valeur Responsable de magasin de bon conseil";2020;"magasin agréable articles mis responsable magasin conseil";51;6;0;500311;"client_id_hash";500311;"email_id";"1499046"
"000267CEEE364038CDFF9398EB0A9589";2019-05-24;10;16;"926da99a439998128f91a631f23429b6777b5e943d7c7137be0f89cce9322510";2;144;"Très bon accueil et personnel à l'écoute et donnant de bons conseils // Mettre des grandes tailles à l'essai (elles sont le plus souvent en stock):)";2019;"accueil personnel l'écoute donnant bons conseils mettre grandes tailles l'essai stock";75;2;100;241042;"client_id_hash";241042;"email_id";"1265753"
"000709A89A5908B9020ED2B6178FD439";2020-07-09;10;15;"231b7e0a28a8d0493bd29720749ce9b2349b11d767d57da5ec240604289c8519";1;21;"qualite    intemporel";2020;"qualité intemporel";17;0;0;192663;"client_id_hash";192663;"email_id";"26716"
"000955576876B622EC46763B523B0D2B";2019-10-07;10;11;"9db6f7e3b082c15ee80de942019b2ca5200551d359a1871891c7d51f6852c119";NA;NA;NA;2019;NA;NA;NA;NA;120782;"client_id_hash";120782;"email_id";"1415121"
"000A27DB257A1369ED8A137902D5131F";2020-10-01;10;15;"be94d3bb703fbaf61d0f2f4ce53c629d8d3b47c740ed1bda1d46d0109db73d37";1;123;"un magasin avec du choix, de bonnes affaires à réaliser, des vendeurs(ses) très professionnels (elles) et à l'écoute, merci";2020;"magasin choix bonnes affaires réaliser vendeurs professionnels l'écoute";64;2;100;92914;"client_id_hash";92914;"email_id";"1274873"
"000B0137F866EEEF2031052C60D15ED5";2022-12-27;-Inf;14;"80bd6ed06374bf1b298c42ff8113bcc18e97571328814699d04c5d9b25b59b55";1;40;"TrÃ¨s bon accueil et conseil de qualitÃ©";2022;"accueil conseil qualité";21;3;0;134634;"client_id_hash";134634;"email_id";"1119499"
"000DB655CC00EB322327ABBD9F1EEE49";2021-05-23;8;13;"8e81e2cf876732b5fe040758f722beb436abe1e734aae6f94b1958f2e51fcd5f";1;19;"Accueil sympathique";2021;"accueil sympathique";18;3;100;59887;"client_id_hash";59887;"email_id";"22257"
"000FF59B9C0A65ECF5A19B640E3EC964";2020-06-27;9;19;"0c510521d34c3978fe33d369e64d68cd098d25980a6d339e61940c1287894485";2;87;"Trésor facile d'utilisation // Plutôt qu'utiliser d'autres sites, celui convient pleinement";2020;"trésor facile d'utilisation qu'utiliser d'autres sites convient pleinement";67;1;100;57523;"client_id_hash";57523;"email_id";"1526132"
"0012137FB2F8E2353C3225EEF29C5BC1";2018-12-16;10;15;"d556344b0d824733937fbcdfb13675d9bd9e443820abb81d838bea40a8e99bc9";1;130;"Magasin toujours agencé avec goût . Le responsable de la boutique et sa vendeuse sont toujours disponibles et de très bon conseil.";2018;"magasin agencé goût responsable boutique vendeuse disponibles conseil";62;5;100;139784;"client_id_hash";139784;"email_id";"769107"
"0012A6E34A23F048A403217273EFF243";2020-02-08;10;14;"c0c47e2e00dbee9a4d0d30697d2fe2b6a1a65b150e22daf0ef4d89eec36e11a7";NA;NA;NA;2020;NA;NA;NA;NA;7681;"client_id_hash";7681;"email_id";"1287881"
"0013A35ADB2BF6CB439EC61B84C950CB";2023-07-12;7;17;"3569209bba1738c981f879cff9de024aaf7d9acdff4b6c638ce3a1d3d90b3dd5";1;37;"Bon produit,mais tarif un peu Ã©levÃ©";2023;"produit tarif élevé";17;-1;0;125457;"client_id_hash";125457;"email_id";"288170"
"0017ADB00BD76645CEC8DB8D80B2E4CC";2022-06-21;-Inf;14;"80178ba3de82367310c4ddb5a15164fb3b01e4af94bcdf20c695ac81d2deaa8b";1;36;"Beaucoup de choix, trÃ¨s bon accueil";2022;"choix accueil";12;2;0;146279;"client_id_hash";146279;"email_id";"1454932"
"001CADDCE3019455B2972DC7EB5E9C3B";2019-01-15;8;14;"df39a1327c4703eede99c0f0b03a96fb884d7a05dc749a0b7181dbc7c9f115b1";1;52;"Très bon accueil magasin très agréable bons produits";2019;"accueil magasin agréable bons produits";34;2;100;272649;"client_id_hash";272649;"email_id";"1264993"
"0020880058F5AD44AFC2456B57E2466A";2020-02-08;10;16;"4fe2db418a16163657e94c67bb52547f09fa49314aea4071b84dc98f03b6f983";1;37;"Je n'ai pas eut a demander de conseil";2020;"n'ai demander conseil";19;2;0;600219;"client_id_hash";600219;"email_id";"1255374"
"0021D63C034E9B9FEB184C9D97088DCD";2020-09-03;10;19;"c68c130f216033263b4168cf4f5ed9a65ad43836922a62ae906e1721e8d48948";NA;NA;NA;2020;NA;NA;NA;NA;457581;"client_id_hash";457581;"email_id";"1748570"
"0022CCFF4DC295F085FD5FEAF7D47275";2020-02-21;10;16;"7b4ccc87f76ecfd8c0e8df98d7555ca72208300f585399277d0fc5f4380d34f6";1;23;"Un service personnalisé";2020;"service personnalisé";19;0;0;13077;"client_id_hash";13077;"email_id";"291348"
"0024DF7B1F4D28868246BA15ACB96160";2020-02-09;8;16;"04a52dfb8ae7a41a83605b00630b83a3d7200ec632546cec0da89e6b2b55afb7";NA;NA;NA;2020;NA;NA;NA;NA;274689;"client_id_hash";274689;"email_id";"1488236"
"0027860A27C4827B8D66C6F37267B255";2020-12-11;10;17;"385c9d1cbe2205b83e8db3912346f936bafe6517792444b32dd7b07d8b7e4dca";1;27;"disponibilité des vendeuses";2020;"disponibilité vendeuses";22;0;0;217624;"client_id_hash";217624;"email_id";"1796874"
"0027B1F9E9FDFA5E5624D2605CBB9237";2019-05-11;8;17;"2e01f280743d98ec270f03998a2c2c754ed2ba387c4071ef0e5e29657bbc2b1f";2;138;"Vendeurs adorables et consciencieux. Par contre point négatif: chien interdit. Pas mal de gens de passage sont embêtés. // Admettre les chiens";2019;"vendeurs adorables consciencieux point négatif chien interdit mal passage embêtés admettre chiens";86;-2;-100;319081;"client_id_hash";319081;"email_id";"486322"
"0029CE4DEF76F52E836C25FE4A70A99B";2019-08-05;10;1;"47ac401319b682677ad0ae78df6cd3b6b2bd8f7244b8ec0ccbd6cb8e3dc3e202";NA;NA;NA;2019;NA;NA;NA;NA;77364;"client_id_hash";77364;"email_id";"1401160"
